Normalized_error,Resolution
0.00005419+0.00000000j,452.54833996+0.00000000j
0.00007149+0.00000000j,400.00000000+0.00000000j
0.00003489+0.00000000j,640.00000000+0.00000000j
0.00002978+0.00000000j,729.45184899+0.00000000j
0.00003164+0.00000000j,800.00000000+0.00000000j
0.00002724+0.00000000j,799.68993991+0.00000000j
0.00002831+0.00000000j,800.56230239+0.00000000j
0.00002749+0.00000000j,804.98447190+0.00000000j
0.00003182+0.00000000j,1000.00000000+0.00000000j
0.00002857+0.00000000j,976.16596949+0.00000000j
0.00002883+0.00000000j,1468.60478005+0.00000000j
